189 | loss 7.4062 | lr 1.000000e-03 | 1900.13ms
190 | loss 7.1875 | lr 1.000000e-03 | 1897.75ms
191 | loss 7.5625 | lr 1.000000e-03 | 1898.48ms
192 | loss 7.4062 | lr 1.000000e-03 | 1904.20ms
193 | loss 7.1250 | lr 1.000000e-03 | 1892.68ms
194 | loss 7.0625 | lr 1.000000e-03 | 1896.78ms
195 | loss 7.1562 | lr 1.000000e-03 | 1893.24ms
196 | loss 7.0625 | lr 1.000000e-03 | 1897.95ms
197 | loss 7.2500 | lr 1.000000e-03 | 1900.70ms
198 | loss 7.1250 | lr 1.000000e-03 | 1898.97ms
199 | loss 7.2188 | lr 1.000000e-03 | 1897.74ms
200 | loss 7.6875 | lr 1.000000e-03 | 1891.21ms
201 | loss 7.2500 | lr 1.000000e-03 | 1895.51ms
202 | loss 7.5312 | lr 1.000000e-03 | 1894.90ms
203 | loss 7.3125 | lr 1.000000e-03 | 1894.51ms
204 | loss 7.3750 | lr 1.000000e-03 | 1927.25ms
205 | loss 7.1250 | lr 1.000000e-03 | 1858.68ms
206 | loss 7.0938 | lr 1.000000e-03 | 1899.11ms
207 | loss 7.0625 | lr 1.000000e-03 | 1893.51ms
208 | loss 7.6875 | lr 1.000000e-03 | 1889.96ms
209 | loss 7.1250 | lr 1.000000e-03 | 1895.86ms
210 | loss 7.3125 | lr 1.000000e-03 | 1893.17ms
211 | loss 7.7812 | lr 1.000000e-03 | 1889.67ms
212 | loss 7.1875 | lr 1.000000e-03 | 1902.04ms
213 | loss 7.2812 | lr 1.000000e-03 | 1889.77ms
214 | loss 7.2812 | lr 1.000000e-03 | 1891.68ms
215 | loss 7.3438 | lr 1.000000e-03 | 1897.37ms
216 | loss 6.9062 | lr 1.000000e-03 | 1899.33ms
217 | loss 7.2500 | lr 1.000000e-03 | 1895.74ms
218 | loss 7.3438 | lr 1.000000e-03 | 1894.42ms
219 | loss 7.2188 | lr 1.000000e-03 | 1897.42ms
220 | loss 7.2188 | lr 1.000000e-03 | 1892.78ms
221 | loss 7.0312 | lr 1.000000e-03 | 1898.07ms
222 | loss 6.8750 | lr 1.000000e-03 | 1895.45ms
223 | loss 7.2812 | lr 1.000000e-03 | 1894.29ms
224 | loss 7.4062 | lr 1.000000e-03 | 1895.09ms
225 | loss 7.3125 | lr 1.000000e-03 | 1895.37ms
226 | loss 7.0000 | lr 1.000000e-03 | 1897.45ms
227 | loss 7.3125 | lr 1.000000e-03 | 1893.55ms
228 | loss 6.9688 | lr 1.000000e-03 | 1892.07ms
229 | loss 7.3438 | lr 1.000000e-03 | 1891.80ms
230 | loss 6.6562 | lr 1.000000e-03 | 1892.30ms
231 | loss 6.9375 | lr 1.000000e-03 | 1897.20ms
232 | loss 7.0938 | lr 1.000000e-03 | 1895.80ms
233 | loss 6.8750 | lr 1.000000e-03 | 1895.41ms
234 | loss 7.1250 | lr 1.000000e-03 | 1896.05ms
235 | loss 7.0625 | lr 1.000000e-03 | 1893.76ms
236 | loss 7.0000 | lr 1.000000e-03 | 1897.69ms
237 | loss 7.0625 | lr 1.000000e-03 | 1898.55ms
238 | loss 7.1875 | lr 1.000000e-03 | 1893.63ms
239 | loss 7.6562 | lr 1.000000e-03 | 1892.81ms
240 | loss 7.1562 | lr 1.000000e-03 | 1896.33ms
241 | loss 6.9062 | lr 1.000000e-03 | 1892.65ms
242 | loss 7.0625 | lr 1.000000e-03 | 1893.99ms
243 | loss 6.8750 | lr 1.000000e-03 | 1894.94ms
244 | loss 7.1250 | lr 1.000000e-03 | 1891.72ms
245 | loss 7.2188 | lr 1.000000e-03 | 1894.86ms
246 | loss 6.8125 | lr 1.000000e-03 | 1899.58ms
247 | loss 6.9062 | lr 1.000000e-03 | 1892.68ms
248 | loss 6.9375 | lr 1.000000e-03 | 1893.55ms
249 | loss 6.9688 | lr 1.000000e-03 | 1892.47ms
250 | loss 6.9375 | lr 1.000000e-03 | 1892.78ms
251 | loss 6.8750 | lr 1.000000e-03 | 1897.37ms
252 | loss 7.5000 | lr 1.000000e-03 | 1897.20ms
253 | loss 7.0312 | lr 1.000000e-03 | 1886.70ms
254 | loss 7.0625 | lr 1.000000e-03 | 1900.25ms
255 | loss 7.3750 | lr 1.000000e-03 | 1898.31ms
256 | loss 6.8125 | lr 1.000000e-03 | 1893.61ms
257 | loss 6.7500 | lr 1.000000e-03 | 1900.42ms
258 | loss 6.9062 | lr 1.000000e-03 | 1895.85ms
259 | loss 6.7812 | lr 1.000000e-03 | 1893.73ms
260 | loss 7.2188 | lr 1.000000e-03 | 1900.24ms
261 | loss 6.9062 | lr 1.000000e-03 | 1896.75ms
262 | loss 7.1875 | lr 1.000000e-03 | 1894.31ms
263 | loss 7.0000 | lr 1.000000e-03 | 1895.16ms
264 | loss 6.9688 | lr 1.000000e-03 | 1894.24ms
265 | loss 6.9062 | lr 1.000000e-03 | 1886.98ms
266 | loss 7.1875 | lr 1.000000e-03 | 1898.83ms
267 | loss 7.0000 | lr 1.000000e-03 | 1897.58ms
268 | loss 6.8438 | lr 1.000000e-03 | 1890.13ms
269 | loss 7.1250 | lr 1.000000e-03 | 1897.66ms
270 | loss 7.0625 | lr 1.000000e-03 | 1896.73ms
271 | loss 6.7812 | lr 1.000000e-03 | 1892.94ms
272 | loss 6.8438 | lr 1.000000e-03 | 1897.56ms
273 | loss 6.8750 | lr 1.000000e-03 | 1896.17ms
274 | loss 7.1250 | lr 1.000000e-03 | 1897.40ms
275 | loss 7.0938 | lr 1.000000e-03 | 1895.10ms
276 | loss 6.8438 | lr 1.000000e-03 | 1902.22ms
277 | loss 6.8438 | lr 1.000000e-03 | 1894.01ms
278 | loss 6.9688 | lr 1.000000e-03 | 1902.15ms
279 | loss 7.0312 | lr 1.000000e-03 | 1899.26ms
280 | loss 6.8438 | lr 1.000000e-03 | 1889.24ms
281 | loss 6.9688 | lr 1.000000e-03 | 1901.44ms
282 | loss 6.8125 | lr 1.000000e-03 | 1898.50ms
283 | loss 6.4375 | lr 1.000000e-03 | 1890.95ms
284 | loss 6.7500 | lr 1.000000e-03 | 1899.53ms
285 | loss 6.2500 | lr 1.000000e-03 | 1898.47ms
286 | loss 6.6875 | lr 1.000000e-03 | 1889.81ms
287 | loss 6.8438 | lr 1.000000e-03 | 1898.00ms
288 | loss 6.5312 | lr 1.000000e-03 | 1895.33ms
289 | loss 6.8125 | lr 1.000000e-03 | 2105.41ms
